"","userID","gameCode","sessionID","repetitionID","hand","includeInt","accuracy","amountOfData","centerCircle","circleCenterX","circleCenterY","date","device","distanceTot","dpi","margin","radiusCenter","screenHeight","screenWidth","startTime","time","raggioEsterno","raggioInterno","dominantHand"
"1","MB_AB_05_e4807c46","circleAccuracy","3efe70fad199f0040562f95cbdd8a07f",1,"destra",0,0.9974351,316,1917.291,540,888,"26/02/2015 09-40-17","LGE Nexus 5",1920.859,442.898,87.18465,305.1463,1776,1080,166.2572,5.44545,348.738625,261.553975,"destra"
"2","MB_AB_05_e4807c46","circleAccuracy","3efe70fad199f0040562f95cbdd8a07f",2,"destra",0,0.9983486,257,1917.291,540,888,"26/02/2015 09-40-28","LGE Nexus 5",1925.438,442.898,87.18465,305.1463,1776,1080,175.6609,4.443649,348.738625,261.553975,"destra"
"3","MB_AB_05_e4807c46","circleAccuracy","3efe70fad199f0040562f95cbdd8a07f",3,"destra",0,0.9968731,178,1917.291,540,888,"26/02/2015 09-40-36","LGE Nexus 5",1922.609,442.898,87.18465,305.1463,1776,1080,181.8908,3.106735,348.738625,261.553975,"destra"
"4","MB_AB_06_ad206935","circleAccuracy","11e3e2967c1ac0e35861a275a09fe955",1,"destra",0,0.9899777,95,1917.291,540,888,"26/02/2015 20-42-53","LGE Nexus 5",1923.882,442.898,87.18465,305.1463,1776,1080,128.7537,1.600174,348.738625,261.553975,"destra"
"5","MB_AB_06_ad206935","circleAccuracy","11e3e2967c1ac0e35861a275a09fe955",2,"destra",0,0.5371389,85,1917.291,540,888,"26/02/2015 20-42-58","LGE Nexus 5",1887.511,442.898,87.18465,305.1463,1776,1080,133.6044,1.616928,348.738625,261.553975,"destra"
"6","MB_AB_06_ad206935","circleAccuracy","11e3e2967c1ac0e35861a275a09fe955",3,"destra",0,0.9080333,65,1917.291,540,888,"26/02/2015 20-43-03","LGE Nexus 5",1943.198,442.898,87.18465,305.1463,1776,1080,138.2053,1.133881,348.738625,261.553975,"destra"
"7","MB_AB_07_8efbbd16","circleAccuracy","13b5bbaec05d753e2e3d9af4c1b8433d",1,"destra",0,0.6131921,80,1917.291,540,888,"26/02/2015 21-18-17","LGE Nexus 5",1931.024,442.898,87.18465,305.1463,1776,1080,1063.922,1.402344,348.738625,261.553975,"destra"
"8","MB_AB_07_8efbbd16","circleAccuracy","13b5bbaec05d753e2e3d9af4c1b8433d",2,"destra",0,0.8609533,72,1917.291,540,888,"26/02/2015 21-18-22","LGE Nexus 5",1948.253,442.898,87.18465,305.1463,1776,1080,1070.283,1.252563,348.738625,261.553975,"destra"
"9","MB_AB_07_8efbbd16","circleAccuracy","13b5bbaec05d753e2e3d9af4c1b8433d",3,"destra",0,0.7614812,75,1917.291,540,888,"26/02/2015 21-18-28","LGE Nexus 5",1947.899,442.898,87.18465,305.1463,1776,1080,1074.307,1.402832,348.738625,261.553975,"destra"
"10","MB_AB_08_bb32e250","circleAccuracy","3f9b4070593351dd3d04a731bf945943",1,"destra",0,0.9996471,388,1917.291,540,888,"02/03/2015 14-00-43","LGE Nexus 5",1919.779,442.898,87.18465,305.1463,1776,1080,100.079,6.662575,348.738625,261.553975,"destra"
